Index,0 [STRING(0x0)][0x0],1,0,0,0
156,"Dated Bladed Lantern Shield",11,"101,6,2,0","0,0,0,0",2
157,"Dated Raptorskin Targe",11,"101,1,12,0","0,0,0,0",2
158,"Dated Decorated Iron Scutum",11,"101,4,3,0","0,0,0,0",2
159,"Dated Bull Hoplon",11,"101,8,5,0","0,0,0,0",2
160,"Dated Bronze Saw",12,"5001,1,2,0","5081,1,1,0",2
161,"Dated Chocobotail Saw",12,"5001,1,3,0","5081,1,1,0",2
162,"Dated Fish Saw",12,"5001,1,3,0","5081,1,1,0",2
163,"Dated Iron Saw",12,"5001,1,4,0","5081,1,1,0",2
164,"Dated Bas-relief Iron Saw",12,"5001,1,6,0","5081,1,1,0",2
165,"Dated Crosscut Saw",12,"5001,1,7,0","5081,1,1,0",2
166,"Dated Iron Chocobotail Saw",12,"5001,1,5,0","5081,1,1,0",2
167,"Dated Bronze Claw Hammer",13,"5041,1,1,0","5081,1,1,0",2
168,"Dated Iron Claw Hammer",13,"5041,1,2,0","5081,1,1,0",2
169,"Dated Steel Claw Hammer",13,"5041,1,3,0","5081,1,1,0",2
170,"Dated Bronze Cross-pein Hammer",14,"5101,1,1,0","5181,1,1,0",2
171,"Dated Birdsbeak Hammer",14,"5101,1,5,0","5181,1,1,0",2
172,"Dated Fortified Birdsbeak Hammer",14,"5101,1,5,0","5181,1,1,0",2
173,"Dated Iron Cross-pein Hammer",14,"5101,1,2,0","5181,1,1,0",2
174,"Dated Crowsbeak Hammer",14,"5101,1,6,0","5181,1,1,0",2
175,"Dated Wrapped Crowsbeak Hammer",14,"5101,1,9,0","5181,1,1,0",2
176,"Dated Heavy Crowsbeak Hammer",14,"5101,1,10,0","5181,1,1,0",2
177,"Dated Bronze File",15,"5141,1,1,0","5181,1,1,0",2
178,"Dated Iron File",15,"5141,1,2,0","5181,1,1,0",2
179,"Dated Polished Iron File",15,"5141,1,2,0","5181,1,1,0",2
180,"Dated Bronze Doming Hammer",16,"5201,1,1,0","5282,1,1,0",2
181,"Dated Bronze Raising Hammer",16,"5201,2,1,0","5282,1,1,0",2
182,"Dated Tin Bronze Raising Hammer",16,"5201,2,1,0","5282,1,1,0",2
183,"Dated Iron Doming Hammer",16,"5201,1,2,0","5282,1,1,0",2
184,"Dated Iron Raising Hammer",16,"5201,2,2,0","5282,1,1,0",2
185,"Dated Wrapped Iron Raising Hammer",16,"5201,2,5,0","5282,1,1,0",2
186,"Dated Heavy-duty Iron Raising Hammer",16,"5201,3,1,0","5282,1,1,0",2
187,"Dated Bronze Pliers",17,"5241,1,1,0","5281,1,1,0",2
188,"Dated Iron Pliers",17,"5241,1,2,0","5281,1,1,0",2
189,"Dated Steel Pliers",17,"5241,1,3,0","5281,1,1,0",2
190,"Dated Bronze Chaser Hammer",18,"5301,1,2,0","5381,1,1,0",2
191,"Dated Bronze Ornamental Hammer",18,"5301,1,9,0","5381,1,1,0",2
192,"Dated Tin Bronze Ornamental Hammer",18,"5301,1,9,0","5381,1,1,0",2
193,"Dated Iron Chaser Hammer",18,"5301,1,3,0","5381,1,1,0",2
194,"Dated Fortified Iron Chaser Hammer",18,"5301,1,3,0","5381,1,1,0",2
195,"Dated Iron Ornamental Hammer",18,"5301,1,11,0","5381,1,1,0",2
196,"Dated Steel Chaser Hammer",18,"5301,1,4,0","5381,1,1,0",2
197,"Dated Mudstone Grinding Wheel",19,"5341,1,1,0","5361,1,1,0",2
198,"Dated Ragstone Grinding Wheel",19,"5341,1,1,0","5361,1,2,0",2
199,"Dated Siltstone Grinding Wheel",19,"5341,1,1,0","5361,1,3,0",2
200,"Dated Bronze Head Knife",20,"5401,1,1,0","5481,1,1,0",2
201,"Dated Brass Head Knife",20,"5401,1,2,0","5481,1,1,0",2
202,"Dated Heavy-duty Brass Head Knife",20,"5401,1,2,0","5481,1,1,0",2
203,"Dated Iron Round Knife",20,"5401,2,1,0","5481,1,1,0",2
204,"Dated Iron Head Knife",20,"5401,3,1,0","5481,1,1,0",2
205,"Dated Darksilver Head Knife",20,"5401,1,3,0","5481,1,1,0",2
206,"Dated Steel Round Knife",20,"5401,2,2,0","5481,1,1,0",2
207,"Dated Bronze Awl",21,"5441,1,1,0","5481,1,1,0",2
208,"Dated Iron Awl",21,"5441,1,2,0","5481,1,1,0",2
209,"Dated Steel Awl",21,"5441,1,3,0","5481,1,1,0",2
210,"Dated Bronze Needle",22,"5501,1,1,0","0,0,0,0",2
211,"Dated Hedgemole Needle",22,"5501,1,2,0","0,0,0,0",2
212,"Dated Iron Needle",22,"5501,1,4,0","0,0,0,0",2
213,"Dated Silver Needle",22,"5501,1,5,0","0,0,0,0",2
214,"Dated Steel Needle",22,"5501,1,6,0","0,0,0,0",2
215,"Dated Thousand Needle",22,"5501,1,9,0","0,0,0,0",2
216,"Dated Maple Spinning Wheel",23,"5571,1,1,0","5561,1,1,0",2
217,"Dated Elm Spinning Wheel",23,"5571,1,1,0","5561,1,3,0",2
218,"Dated Walnut Spinning Wheel",23,"5571,1,1,0","5561,1,2,0",2
219,"Dated Oak Spinning Wheel",23,"5571,1,1,0","5561,1,5,0",2
220,"Dated Copper Alembic",24,"5601,1,1,0","5681,1,1,0",2
221,"Dated Brass Alembic",24,"5601,1,2,0","5681,1,1,0",2
222,"Dated Tin Alembic",24,"5601,1,1,0","5681,1,1,0",2
223,"Dated Iron Alembic",24,"5601,1,3,0","5681,1,1,0",2
224,"Dated Conical Alembic",24,"5601,2,1,0","5681,1,1,0",2
225,"Dated Silver Alembic",24,"5601,4,1,0","5681,1,1,0",2
226,"Dated Thermal Alembic",24,"5601,3,1,0","5681,1,1,0",2
227,"Dated Bronze Mortar",25,"5641,1,1,0","5661,1,1,0",2
228,"Dated Iron Mortar",25,"5641,1,2,0","5661,1,2,0",2
229,"Dated Steel Mortar",25,"5641,1,3,0","5661,1,3,0",2
230,"Dated Bronze Skillet",26,"5701,1,1,0","5721,1,1,0",2
231,"Dated Iron Skillet",26,"5701,1,2,0","5721,1,1,0",2
232,"Dated White Skillet",26,"5701,1,5,0","5721,1,1,0",2
233,"Dated Royal Kitchens Skillet",26,"5701,5,1,0","5721,1,1,0",2
234,"Dated Iron Frypan",26,"5701,2,1,0","5721,1,1,0",2
235,"Dated Steel Skillet",26,"5701,1,3,0","5721,1,1,0",2
236,"Dated Bomb Frypan",26,"5701,3,1,0","5721,1,1,0",2
237,"Dated Bronze Culinary Knife",27,"5741,1,1,0","5781,1,1,0",2
238,"Dated Iron Culinary Knife",27,"5741,1,2,0","5781,1,1,0",2
239,"Dated Mythril Culinary Knife",27,"5741,1,5,0","5781,1,1,0",2
240,"Dated Bronze Pickaxe",28,"7001,1,1,0","0,0,0,0",2
241,"Dated Plumed Bronze Pickaxe",28,"7001,2,1,0","0,0,0,0",2
242,"Dated Oiled Bronze Pickaxe",28,"7001,2,1,0","0,0,0,0",2
243,"Dated Iron Pickaxe",28,"7001,1,2,0","0,0,0,0",2
244,"Dated Polished Iron Pickaxe",28,"7001,1,3,0","0,0,0,0",2
245,"Dated Dodotail Pickaxe",28,"7001,2,2,0","0,0,0,0",2
246,"Dated Iron Dolabra",28,"7001,3,1,0","0,0,0,0",2
247,"Dated Bronze Sledgehammer",29,"7051,1,1,0","0,0,0,0",2
248,"Dated Iron Sledgehammer",29,"7051,1,2,0","0,0,0,0",2
249,"Dated Mythril Sledgehammer",29,"7051,1,6,0","0,0,0,0",2
250,"Dated Bronze Hatchet",30,"7101,1,1,0","0,0,0,0",2
251,"Dated Plumed Bronze Hatchet",30,"7101,6,1,0","0,0,0,0",2
252,"Dated Oiled Bronze Hatchet",30,"7101,6,1,0","0,0,0,0",2
253,"Dated Brass Hatchet",30,"7101,2,1,0","0,0,0,0",2
254,"Dated Iron Hatchet",30,"7101,1,2,0","0,0,0,0",2
255,"Dated Steel Hatchet",30,"7101,1,3,0","0,0,0,0",2
256,"Dated Plumed Iron Hatchet",30,"7101,3,1,0","0,0,0,0",2
257,"Dated Bronze Scythe",31,"7151,1,1,0","0,0,0,0",2
258,"Dated Iron Scythe",31,"7151,1,2,0","0,0,0,0",2
259,"Dated Steel Scythe",31,"7151,1,3,0","0,0,0,0",2
260,"Dated Ash Fishing Rod",32,"7201,1,2,0","7281,1,1,0",2
261,"Dated Willow Fishing Rod",32,"7201,2,2,0","7281,1,1,0",2
262,"Dated Pine Fishing Rod",32,"7201,2,2,0","7281,1,1,0",2
263,"Dated Bamboo Fishing Rod",32,"7201,1,1,0","7281,1,1,0",2
264,"Dated Rattan Fishing Rod",32,"7201,1,3,0","7281,1,1,0",2
265,"Dated Yew Fishing Rod",32,"7201,2,1,0","7281,1,1,0",2
266,"Dated Horn Fishing Rod",32,"7201,3,1,0","7281,1,1,0",2
268,"Weathered Coif (Grey)",34,"4,197,0,0","0,0,0,0",2
270,"Weathered Beret (Beige)",34,"5,246,0,0","0,0,0,0",2
272,"Weathered Spectacles",34,"20,30,0,0","0,0,0,0",2
274,"Weathered Bandana",34,"23,51,0,0","0,0,0,0",2
276,"Weathered Sun Hat",34,"6,235,0,0","0,0,0,0",2
278,"Weathered Beach Hat (Blue)",34,"6,238,0,0","0,0,0,0",2
280,"Dated Hempen Coif",34,"4,1,0,0","0,0,0,0",2
282,"Dated Hempen Coif (Brown)",34,"4,152,0,0","0,0,0,0",2
284,"Dated Hempen Coif (Grey)",34,"4,153,0,0","0,0,0,0",2
286,"Dated Hempen Coif (Beige)",34,"4,154,0,0","0,0,0,0",2
288,"Dated Straw Hat",34,"6,1,0,0","0,0,0,0",2
290,"Dated Hempen Bandana",34,"23,1,0,0","0,0,0,0",2
292,"Dated Hempen Bandana (Beige)",34,"23,2,0,0","0,0,0,0",2
294,"Dated Hempen Bandana (Brown)",34,"23,4,0,0","0,0,0,0",2
296,"Dated Hempen Bandana (Grey)",34,"23,3,0,0","0,0,0,0",2
298,"Dated Hempen Scarf",34,"25,1,0,0","0,0,0,0",2
300,"Dated Hempen Scarf (Grey)",34,"25,42,0,0","0,0,0,0",2
302,"Dated Hempen Scarf (Beige)",34,"25,43,0,0","0,0,0,0",2
304,"Dated Hempen Scarf (Brown)",34,"25,44,0,0","0,0,0,0",2
306,"Dated Hempen Beret",34,"5,1,0,0","0,0,0,0",2
308,"Dated Hempen Beret (Brown)",34,"5,200,0,0","0,0,0,0",2
310,"Dated Hempen Beret (Grey)",34,"5,201,0,0","0,0,0,0",2
312,"Dated Hempen Beret (Beige)",34,"5,202,0,0","0,0,0,0",2
314,"Dated Hempen Hat",34,"7,1,0,0","0,0,0,0",2
316,"Dated Hempen Hat (Brown)",34,"7,122,0,0","0,0,0,0",2
318,"Dated Hempen Hat (Grey)",34,"7,123,0,0","0,0,0,0",2
320,"Dated Hempen Hat (Beige)",34,"7,124,0,0","0,0,0,0",2
322,"Dated Lauan Halfmask",34,"19,24,0,0","0,0,0,0",2
324,"Dated Walking Hat",34,"6,202,0,0","0,0,0,0",2
326,"Dated Hempen Turban",34,"10,1,0,0","0,0,0,0",2
328,"Dated Hempen Turban (Brown)",34,"10,161,0,0","0,0,0,0",2
330,"Dated Hempen Turban (Grey)",34,"10,162,0,0","0,0,0,0",2
332,"Dated Hempen Turban (Beige)",34,"10,163,0,0","0,0,0,0",2
334,"Dated Sheepskin Calot",34,"35,40,0,0","0,0,0,0",2
336,"Dated Sheepskin Calot (Taupe)",34,"35,39,0,0","0,0,0,0",2
338,"Dated Sheepskin Calot (Grey)",34,"35,1,0,0","0,0,0,0",2
340,"Dated Hunting Hat (Brown)",34,"9,1,0,0","0,0,0,0",2
342,"Dated Hunting Hat (Grey)",34,"9,195,0,0","0,0,0,0",2
344,"Dated Hunting Hat (Beige)",34,"9,196,0,0","0,0,0,0",2
346,"Dated Sheepskin Pot Helm",34,"13,1,0,0","0,0,0,0",2
348,"Dated Hempen Sugarloaf Hat (Brown)",34,"18,1,0,0","0,0,0,0",2
350,"Dated Hempen Sugarloaf Hat (Grey)",34,"18,2,0,0","0,0,0,0",2
352,"Dated Hempen Sugarloaf Hat (Beige)",34,"18,3,0,0","0,0,0,0",2
354,"Dated Cotton Coif",34,"4,155,0,0","0,0,0,0",2
356,"Dated Cotton Coif (Red)",34,"4,156,0,0","0,0,0,0",2
358,"Dated Cotton Coif (Yellow)",34,"4,157,0,0","0,0,0,0",2
360,"Dated Cotton Coif (Green)",34,"4,158,0,0","0,0,0,0",2
362,"Dated Cotton Coif (Blue)",34,"4,159,0,0","0,0,0,0",2
364,"Dated Copper Spectacles",34,"20,1,0,0","0,0,0,0",2
366,"Dated Weathered Spectacles (Black)",34,"20,2,0,0","0,0,0,0",2
368,"Dated Weathered Spectacles (Green)",34,"20,3,0,0","0,0,0,0",2
370,"Dated Copper Circlet (Sunstone)",34,"11,1,0,0","0,0,0,0",2
372,"Dated Copper Circlet (Lapis Lazuli)",34,"11,98,0,0","0,0,0,0",2
374,"Dated Copper Circlet (Sphene)",34,"11,99,0,0","0,0,0,0",2
376,"Dated Copper Circlet (Malachite)",34,"11,100,0,0","0,0,0,0",2
378,"Dated Copper Circlet (Fluorite)",34,"11,101,0,0","0,0,0,0",2
380,"Dated Copper Circlet (Danburite)",34,"11,102,0,0","0,0,0,0",2
382,"Dated Cotton Bandana",34,"23,5,0,0","0,0,0,0",2
384,"Dated Cotton Bandana (Red)",34,"23,6,0,0","0,0,0,0",2
386,"Dated Cotton Bandana (Yellow)",34,"23,7,0,0","0,0,0,0",2
388,"Dated Cotton Bandana (Green)",34,"23,8,0,0","0,0,0,0",2
390,"Dated Cotton Bandana (Blue)",34,"23,9,0,0","0,0,0,0",2
392,"Dated Copper Barbut",34,"8,1,0,0","0,0,0,0",2
394,"Dated Cotton Scarf",34,"25,45,0,0","0,0,0,0",2
396,"Dated Cotton Scarf (Red)",34,"25,46,0,0","0,0,0,0",2
398,"Dated Cotton Scarf (Yellow)",34,"25,47,0,0","0,0,0,0",2
400,"Dated Cotton Scarf (Green)",34,"25,48,0,0","0,0,0,0",2
402,"Dated Cotton Scarf (Blue)",34,"25,49,0,0","0,0,0,0",2
404,"Dated Cotton Beret",34,"5,203,0,0","0,0,0,0",2
406,"Dated Cotton Beret (Green)",34,"5,204,0,0","0,0,0,0",2
408,"Dated Cotton Beret (Red)",34,"5,205,0,0","0,0,0,0",2
410,"Dated Cotton Beret (Yellow)",34,"5,206,0,0","0,0,0,0",2
412,"Dated Cotton Beret (Blue)",34,"5,207,0,0","0,0,0,0",2
414,"Dated Bronze Sallet",34,"14,1,0,0","0,0,0,0",2
416,"Dated Bronze Goggles",34,"21,81,0,0","0,0,0,0",2
418,"Dated Bronze Goggles (Yellow)",34,"21,1,0,0","0,0,0,0",2
420,"Dated Bronze Goggles (Black)",34,"21,55,0,0","0,0,0,0",2
422,"Dated Brass Magnifiers (Red)",34,"20,34,0,0","0,0,0,0",2
424,"Dated Willow Halfmask",34,"19,11,0,0","0,0,0,0",2
426,"Dated Tarred Walking Hat",34,"6,205,0,0","0,0,0,0",2
428,"Dated Cotton Turban",34,"10,164,0,0","0,0,0,0",2
430,"Dated Cotton Turban (Red)",34,"10,165,0,0","0,0,0,0",2
432,"Dated Cotton Turban (Yellow)",34,"10,166,0,0","0,0,0,0",2
434,"Dated Cotton Turban (Green)",34,"10,167,0,0","0,0,0,0",2
436,"Dated Cotton Turban (Blue)",34,"10,168,0,0","0,0,0,0",2
438,"Dated Dodoskin Calot",34,"35,41,0,0","0,0,0,0",2
440,"Dated Dodoskin Calot (Black)",34,"35,42,0,0","0,0,0,0",2
442,"Dated Trapper's Hat",34,"9,199,0,0","0,0,0,0",2
444,"Dated Trapper's Hat (Red)",34,"9,200,0,0","0,0,0,0",2
446,"Dated Trapper's Hat (Yellow)",34,"9,201,0,0","0,0,0,0",2
448,"Dated Trapper's Hat (Green)",34,"9,202,0,0","0,0,0,0",2
450,"Dated Trapper's Hat (Blue)",34,"9,203,0,0","0,0,0,0",2
452,"Dated Bronze Elmo",34,"12,1,0,0","0,0,0,0",2
454,"Dated Dodoskin Pot Helm",34,"13,111,0,0","0,0,0,0",2
456,"Dated Dodoskin Pot Helm (Black)",34,"13,112,0,0","0,0,0,0",2
458,"Dated Cotton Sugarloaf Hat (Red)",34,"18,4,0,0","0,0,0,0",2
460,"Dated Cotton Sugarloaf Hat (Green)",34,"18,5,0,0","0,0,0,0",2
462,"Dated Cotton Sugarloaf Hat (Blue)",34,"18,6,0,0","0,0,0,0",2
