Index,0 [STRING(0x0)][0x0],1 [STRING(0x0)][0x0],2
162,"Yellow Potion","9901,23,1,0"
163,"Blue Potion 2","9901,22,1,0"
164,"Cheese Slice","9901,21,1,0"
165,"Mushroom","9901,20,1,0"
166,"Fish","9901,19,1,0"
167,"Tropical Fish","9901,18,1,0"
168,"Meat Chunk","9901,17,1,0"
169,"Apple","9901,16,1,0"
170,"Carrot","9901,15,1,0"
171,"Pouch","9901,14,1,0"
172,"Small Tankard","9901,12,1,0"
173,"Egg Slice","9901,11,1,0"
174,"Skewered Meat","9901,10,1,0"
175,"Salad","9901,9,1,0"
176,"Muffin","9901,8,1,0"
177,"Fried Fish","9901,7,1,0"
178,"Skewer 2","9901,6,1,0"
179,"Chicken Wing","9901,5,1,0"
180,"Cake Slice","9901,4,1,0"
181,"Chocolate Heart","9901,3,1,0"
182,"Water Flask","9901,2,1,0"
183,"Bread Bun","9901,1,1,0"
184,"Twin Adders Flag","9025,1,1,0"
185,"Immortal Flames Flag","9024,1,1,0"
186,"Maelstrom Flag","9023,1,1,0"
187,"Thick Book 1","9002,1,1,0"
188,"Thick Book 2","9002,2,1,0"
189,"Thick Book 3","9002,3,1,0"
190,"Thin Book","9002,4,1,0"
191,"Palm Leaf ( for miqote fan emote )","9016,1,1,0"
